OSEBuildingID,proportionparking,Proportionbat,old_built,PropertyGFATotal,NumberofBuildings,NumberofFloors,mean_GFA_per_floor,prop_gfa_largest_property,diff_prop_gfa_largest_property_per_type,SteamUse(kBtu)_pct,Electricity(kBtu)_pct,NaturalGas(kBtu)_pct,Longitude,Latitude,SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_infrequent_sklearn,PrimaryPropertyType_Large Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,PrimaryPropertyType_infrequent_sklearn,Neighborhood_lcaps_downtown,Neighborhood_lcaps_east,Neighborhood_lcaps_greater duwamish,Neighborhood_lcaps_lake union,Neighborhood_lcaps_magnolia / queen anne,Neighborhood_lcaps_northeast,Neighborhood_lcaps_northwest,Neighborhood_lcaps_infrequent_sklearn,LargestPropertyUseType_Non-Refrigerated Warehouse,LargestPropertyUseType_Office,LargestPropertyUseType_Other,LargestPropertyUseType_Retail Store,LargestPropertyUseType_Worship Facility,LargestPropertyUseType_infrequent_sklearn,BuildingType,PrimaryPropertyType,Neighborhood_lcaps,LargestPropertyUseType,BuildingType_cat,PrimaryPropertyType_cat,Neighborhood_lcaps_cat,LargestPropertyUseType_cat
66,0.0,1.0,108,122810,1.0,7,15351.25,0.7194853839263904,-0.16597263391820283,0.0,0.2394916979817921,0.760508302018208,-122.34114,47.61155,6088417.5,49.59999847,227.18,1.85,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,downtown,Hotel,0,2,3,10
67,0.3759377236620042,0.6240622763379958,57,113173,1.0,5,11771.166666666666,0.6240622763379958,-0.2613957415065974,0.0,0.5572461893559899,0.44275381064401004,-122.34413,47.61986,5428403.5,76.90000153,144.79,1.28,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,lake union,Hotel,0,2,6,10
68,0.23086944095498263,0.7691305590450174,16,150453,1.0,7,14464.75,0.714821239855636,-0.17063677798895727,0.0,0.5057355811535852,0.49426441884641487,-122.34274,47.62001,6835263.5,61.79999924,199.95,1.33,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,lake union,Hotel,0,2,6,10
69,0.24247635425623387,0.7575236457437661,19,116300,1.0,6,12585.714285714286,0.7608770421324161,-0.12458097571217708,0.0,0.5471308490037485,0.45286915099625147,-122.34314,47.62025,5941927.0,67.09999847,162.39,1.4,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,lake union,Hotel,0,2,6,10
70,0.23614092363851363,0.7638590763614863,18,155602,1.0,6,16979.714285714286,1.0,0.11454198215540679,0.0,0.6668135656238303,0.3331864343761697,-122.35951,47.62023,6849826.5,44.0,152.76,0.98,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,magnolia / queen anne,Hotel,0,2,7,10
73,0.0,1.0,105,56072,1.0,3,14018.0,1.0,-0.015007101684008761,0.0,0.17060381409966097,0.829396185900339,-122.30793,47.63442,3800842.5,67.80000305,146.34,2.61,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,K-12 School,east,K-12 School,0,3,4,11
77,0.36513965935156417,0.6348603406484359,17,122942,1.0,4,15610.2,0.6348603406484359,-0.25059767719615733,0.0,0.454108736683895,0.545891263316105,-122.34456,47.62519,5387530.0,69.0,171.64,1.4,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,magnolia / queen anne,Hotel,0,2,7,10
82,0.0,1.0,54,54984,1.0,2,18328.0,1.0,0.21359352352945005,0.0,0.5861055797696796,0.4138944202303204,-122.30956,47.60823,3630147.25,66.0,87.98,1.6,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,central,Office,0,13,1,21
86,0.2465072589562798,0.7534927410437202,8,84103,1.0,6,9053.0,0.7534927410437202,-0.131965276800873,0.0,0.7589347292301881,0.24106527076981193,-122.33211,47.61988,3787499.0,59.79999924,67.06,0.8,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,lake union,Hotel,0,2,6,10
95,0.0,1.0,108,76631,1.0,7,9578.875,1.0,0.11454198215540679,0.0,0.3665560967868057,0.6334439032131943,-122.32693,47.60898,7250730.5,94.59999847,262.75,3.43,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,east,Hotel,0,2,4,10
98,0.0,1.0,87,58320,1.0,2,19440.0,1.2358024691358025,0.36248372419841934,0.0,0.3446570033951005,0.6553429966048995,-122.33805,47.62237,1243027.75,17.20000076,39.06,0.67,96.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,NonResidential,Retail Store,lake union,Retail Store,0,11,6,44
